CurveID,PointID,PosX,PosY,PosZ,TanX,TanY,TanZ
2,97,75.0691,-66.9893,0.0000,-0.8078,-0.5894,0.0
2,98,74.5521,-67.3665,0.0000,-0.8903,-0.4553,0.0
2,99,73.9000,-67.7000,0.0000,-0.8903,-0.4553,0.0
3,0,33.3000,-31.0000,0.0000,0.9986,-0.0529,0.0
3,1,33.8844,-31.0310,0.0000,0.9998,-0.0215,0.0
3,2,34.5044,-31.0443,0.0000,1.0000,0.0012,0.0
3,3,35.1564,-31.0436,0.0000,0.9999,0.0166,0.0
3,4,35.8370,-31.0323,0.0000,0.9997,0.0258,0.0
3,5,36.5426,-31.0141,0.0000,0.9996,0.0296,0.0
3,6,37.2697,-30.9925,0.0000,0.9996,0.0286,0.0
3,7,38.0149,-30.9712,0.0000,0.9997,0.0231,0.0
3,8,38.7746,-30.9536,0.0000,0.9999,0.0132,0.0
3,9,39.5453,-30.9435,0.0000,1.0000,-0.0010,0.0
3,10,40.3237,-30.9442,0.0000,0.9998,-0.0195,0.0
3,11,41.1060,-30.9595,0.0000,0.9991,-0.0426,0.0
3,12,41.8890,-30.9929,0.0000,0.9975,-0.0704,0.0
3,13,42.6690,-31.0479,0.0000,0.9947,-0.1032,0.0
3,14,43.4425,-31.1282,0.0000,0.9899,-0.1415,0.0
3,15,44.2062,-31.2373,0.0000,0.9827,-0.1854,0.0
3,16,44.9563,-31.3789,0.0000,0.9719,-0.2353,0.0
3,17,45.6896,-31.5564,0.0000,0.9566,-0.2913,0.0
3,18,46.4024,-31.7735,0.0000,0.9355,-0.3533,0.0
3,19,47.0913,-32.0337,0.0000,0.9071,-0.4209,0.0
3,20,47.7528,-32.3406,0.0000,0.8701,-0.4929,0.0
3,21,48.3833,-32.6978,0.0000,0.8233,-0.5677,0.0
3,22,48.9795,-33.1088,0.0000,0.7660,-0.6428,0.0
3,23,49.5377,-33.5773,0.0000,0.6985,-0.7156,0.0
3,24,50.0545,-34.1068,0.0000,0.6238,-0.7816,0.0
3,25,50.5273,-34.6992,0.0000,0.5846,-0.8114,0.0
3,26,50.9747,-35.3202,0.0000,0.6247,-0.7809,0.0
3,27,51.4367,-35.8978,0.0000,0.7472,-0.6647,0.0
3,28,51.9545,-36.3584,0.0000,0.9119,-0.4105,0.0
